"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"12051","Normal/Others","WS/MP18190/2025-2026/161771-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore Well and Fixing of Hand Pumpset Near SC Colony Botla Sambaiah(H)","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","74513"
"12052","Normal/Others","WS/MP18190/2025-2026/161787-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Bore well and Fixing of 1.0 HP Pumpset Near Kondapaka Poshalu(H) in Rangapuram(V)","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","74513"
"12053","Normal/Others","WS/MP18190/2025-2026/161768-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell and fixing of 1.0 HP Pumpset in front of Pochamma temple in Ramatheertham(V)","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","154501"
"12054","Normal/Others","WS/MP18190/2025-2026/161509-Installing tube-wells and borewells","Telangana","WARANGAL(District Collector Warangal_IDA)","Drilling of Borewell and Fixing of 1.0 Hp Pumpset near Kommaraju Kumaraswamy House Gundlapahad Village","BALRAM NAIK PORIKA","MAHABUBABAD","Images","31-Jul-2025","143171"
"12055","Normal/Others","WS/MP18104/2025-2026/204678-Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","Madhya Pradesh","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","beneficiary name sushree chandni kushwaha daughter of sh dalchand kushwaha mobile no 7909641442 having disability 85 percentage.","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","Images","22-Jan-2026","95000"
"12056","Normal/Others","WS/MP18180/2025-2026/149579-Construction of toilet blocks","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Single Unit Girls Toilet @ GHS Vadakkumadevi","ARUN NEHRU","PERAMBALUR","N/A","31-Jul-2025","784407"
"12057","Normal/Others","WS/MP526/2024-2025/143789-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Formation and Strengthening of R/s Embankment (bund) from Km.1.700km to 2.700 Km of No.2 Distributory of chapadu channel near Pallavolu (V),of Chapadu(M) of YSR District","Y S Avinash Reddy","KADAPA","Images","31-Jul-2025","478000"
"12058","Normal/Others","WS/MP18176/2024-2025/142552-Construction of buildings for community cultural activities","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","CONSTRUCTION OF DRAMA STAGE Malligapuram @ Puliyamarathukottai","SACHITHANANTHAM R","DINDIGUL","Images","31-Jul-2025","1000000"
"12059","Normal/Others","WS/MP18129/2025-2026/186052-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","To concretize the road from Ganeshpeth Hussain Bakery to Vegetable Market.","MURLIDHAR MOHOL","PUNE","Images","31-Jul-2025","999965"
"12060","Normal/Others","WS/MP526/2025-2026/166438-Establishing public ground water recharging facilities","Andhra Pradesh","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Desilting of Local vanka near Muddamvaripalli village of Pidugupalli GP , Kalasapadu Mandal","Y S Avinash Reddy","KADAPA","Images","31-Jul-2025","500000"
"12061","Normal/Others","WS/MP524/2024-2025/168899-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Internal CC Road fro Rammohan House to Malli House in Sangamvandlapalli (V) Sangamvandlapalli (G.P)","Midhun Reddy","RAJAMPET","Images","31-Jul-2025","499227"
"12062","Normal/Others","WS/MP372/2025-2026/186033-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Nayagada(DISTRICT COLLECTOR  NAYAGARH_IDA)","CONSTRUCTION OF GOPALPRASAD SMASAN ROAD PAVER BLOCK","Shri Bhartruhari Mahtab","CUTTACK","N/A","16-Feb-2026","199000"
"12063","Normal/Others","WS/MP598/2025-2026/199476-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Construction of road from Gullow to baghhat GP Basa Theog Executive Agency BDO Theog (as per recommendation of Smt. Indu Verma)","Suresh Kumar Kashyap","SHIMLA (SC)","N/A","02-Feb-2026","200000"
"12064","Normal/Others","WS/MP18129/2025-2026/186058-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","To asphalt the road from Ganeshpeth, Mari Aai Mata Mandir to Pangul Ali.","MURLIDHAR MOHOL","PUNE","Images","31-Jul-2025","999337"
"12065","Normal/Others","WS/MP18201/2025-2026/210445-Lighting of public spaces","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","VIKAS KHAND FARIDPUR KE 12 VILLAGE ME LED SEMI HIGH MAST LIGHT INSTALLATION(TOTAL 118)","NEERAJ MAURYA","AONLA","Images","06-Nov-2025","2354397"
"12066","Normal/Others","WS/MP18129/2025-2026/186060-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","To asphalt the road from Pangul Ali to Jotyachi Talim.","MURLIDHAR MOHOL","PUNE","Images","31-Jul-2025","999812"
"12067","Normal/Others","WS/MP859/2024-2025/150247-Development of public parks","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","CONSTRUCTION OF CHILDREN PARK AT MOUZA – DAKSHIN RAJYADHARPUR, JL NO- 19 KHNO- 1, DAG NO – 78 UNDER RAJYADHARPUR G.P, WITHIN SERAMPORE- UTTARPARA PANCHYET SAMITI","Kalyan Banerjee","SREERAMPUR","Images","31-Jul-2025","676162"
"12068","Normal/Others","WS/MP18245/2025-2026/174052-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","SOLAR HIGH MAST LIGHTS AT BHADUR MAKDAMTOLA WITHIN BHADUR GP UNDER GOGHAT-I DEV. BLOCK.","BAG MITALI","ARAMBAG(SC)","Images","27-Aug-2025","377801"
"12069","Repair and Renovation","WS/MP18083/2025-2026/211374-Construction of additional rooms and halls in the existing public and community building","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Continued work on Public Assembly Hall at Kaikamba, Bilienele Village, Kadaba Taluk","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","Images","31-Jul-2025","499800"
"12070","Normal/Others","WS/MP18245/2025-2026/174061-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","SOLAR HIGH MAST LIGHTS AT AGAI NEAR BISHLAXMI MANDIR WITHIN BENGAI GP UNDER GOGHAT-II DEV.BLOCK","BAG MITALI","ARAMBAG(SC)","Images","27-Aug-2025","377801"
"12071","Normal/Others","WS/MP18245/2025-2026/174060-Lighting of public spaces","West Bengal","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","SOLAR HIGH MAST LIGHTS AT SHALJHAR NEAR MANSATOLA WITHIN BENGAI GP UNDER GOGHAT-II DEV.BLOCK","BAG MITALI","ARAMBAG(SC)","Images","27-Aug-2025","377801"
"12072","Normal/Others","WS/MP353/2024-2025/144749-Lighting of public spaces","Kerala","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Installation of minimast light    (8Mtr,Octogonal  pole LED Flood Light 150 Wx5 no.s) at Kavum Bhagam, Kozhippilly in Palakkuzha G.P, Pampakkuda Block","Adv Dean Kuriakose","IDUKKI","N/A","01-Aug-2025","215496"
"12073","Normal/Others","WS/	 MP005/2025-2026/174979-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Construction of Paver Block Work At Zhal bhai Muvadi, Zalapura Area Pravinbhai Raijibhia house Area Remaining Work","Devusinh Jesingbhai Chauhan","KHEDA","N/A","12-Feb-2026","98596"
"12074","Repair and Renovation","WS/MP18310/2025-2026/178349-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","BHADRAK(DISTRICT COLLECTOR BHADRAK_IDA)","Construction of C.C. road with drain from Niranjan Nayak house to Balakrushna Senapati house in Ward No.9 Acharya Nagar.","AVIMANYU SETHI","BHADRAK(SC)","N/A","31-Jul-2025","400000"
"12075","Normal/Others","WS/	 MP005/2025-2026/174980-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","KHEDA(DISTRICT COLLECTOR KHEDA_IDA)","Construction of Paver Block Work At Zhal bhai Ni Muvadi, NAvapura Area Khodiyarmataji Mandir towards Vinubhai Ramabhai Dabhi Farm","Devusinh Jesingbhai Chauhan","KHEDA","N/A","12-Feb-2026","49081"
"12076","Normal/Others","WS/MP18253/2024-2025/150417-Construction of public staircase/ stair ghat for public convenience","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","CONSTRUCTION OF BATHING GHAT AT INDRAPUR PHC UNDER G PLOTE GP","BAPI HALDAR","MATHURAPUR(SC)","Images","08-Aug-2025","349100"
"12077","Repair and Renovation","WS/MP18083/2025-2026/211379-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Balya government school road concreting work of Balya village, Kadaba taluk","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","Images","31-Jul-2025","499867"
"12078","Normal/Others","WS/MP18107/2024-2025/163612-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","RATLAM(District Collector Ratlam_IDA)","Distt Rarlam Block Bajna Gram PanchayatRatangad Pith nirman kary CC Road RS 200000 Aproved","ANITA NAGARSINGH CHOUHAN","RATLAM(ST)","Images","17-Apr-2026","200000"
"12079","Normal/Others","WS/MP18129/2025-2026/186530-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Sai Ganesh Park S.No. 122, Khandvenagar Lohegaon, road in front of Shri Aaij Niwas to Kokate Niwas to be concretized.","MURLIDHAR MOHOL","PUNE","Images","31-Jul-2025","999995"
"12080","Normal/Others","WS/MP18033/2025-2026/169402-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","GAYA(DISTRICT PLANNING OFFICER GAYA_IDA)","Construction of PCC road in Islam Ganj, Gaya Nagar Nigam, Ward No. 28 (from the Khajana Super Market to the house of Shri T. H. Khan) District Gaya","JITAN RAM MANJHI","GAYA (SC)","N/A","31-Jul-2025","1492104"
"12081","Normal/Others","WS/MP18183/2025-2026/140775-Construction of community centers and community halls","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","Construction of New PDS Building in Pullavarayan kudikadu Panchayat,needamangalam, mannargudi","MURASOLI S","THANJAVUR","N/A","25-Oct-2025","1308423"
"12082","Normal/Others","WS/MP341/2025-2026/156194-Purchase of furniture and fixtures for educational purposes","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Purchase of furniture and fixtures for educational purposes for Government Primary School located in Jaraganahalli Ward, Bommanahalli Assembly Constituency, Bengaluru.","Shri LS Tejasvi Surya","BANGALORE SOUTH","N/A","31-Jul-2025","500000"
"12083","Normal/Others","WS/MP341/2025-2026/156197-Fitting of Sitting RCC Benches in Public Places","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Fitting of Sitting RCC Benches along with Roof Cover for public use at Sarakki Lake premises located in Jaraganahalli Ward, Bommanahalli Assembly Constituency - 560078","Shri LS Tejasvi Surya","BANGALORE SOUTH","N/A","31-Jul-2025","499434"
"12084","Normal/Others","WS/MP18129/2025-2026/186051-Providing drains and gutters for public drainage","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Replacement of drainage line and concreting of road at Shivramdada Talim Ganesh Peth.","MURLIDHAR MOHOL","PUNE","Images","31-Jul-2025","999962"
"12085","Normal/Others","WS/MP18037/2025-2026/191789-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Prrakhand - Obra, Panchayat - Dihra, men Navner Ucch Vidyalaya tak mukhya Sadak marg se PCC sadak nirman","RAJA RAM SINGH","KARAKAT","Images","14-Jan-2026","497255"
"12086","Normal/Others","WS/MP18129/2025-2026/186531-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Asphalting of roads in lane no. 01 and 02 at Sai Ganesh Park, S.N. 122, Khandwe Nagar, Lohegaon.","MURLIDHAR MOHOL","PUNE","Images","31-Jul-2025","999985"
"12087","Normal/Others","WS/MP18037/2025-2026/174590-Development of public parks","Bihar","AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA)","Jitendra Yadav ke Ghar ke pass se Kayum Ansari ke ghar hote hue Pilchhi Kabristan ke baoundary ki or PCC work","RAJA RAM SINGH","KARAKAT","Images","15-Jan-2026","505832"
"12088","Normal/Others","WS/MP18388/2025-2026/196292-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","CC road from R and B to Anganvadi center","VAMSI KRISHNA GADDAM","PEDDAPALLE","N/A","18-Aug-2025","498328"
"12089","Normal/Others","WS/MP18129/2025-2026/186532-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Asphalting of roads in lane no. 03 and 04 at Sai Ganesh Park, S.N. 122, Khandwe Nagar, Lohegaon.","MURLIDHAR MOHOL","PUNE","Images","31-Jul-2025","999999"
"12090","Normal/Others","WS/MP18083/2025-2026/211377-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","Road concreting work for residential area of ST in Gundyathota Siribagilu Village Kadaba Taluku","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","Images","31-Jul-2025","499785"
"12091","Normal/Others","WS/MP18325/2024-2025/166325-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Gujarat","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","To construct a shed at the cremation ground at Jaliya (Anko) Gram Panchayat","NIMUBEN JAYANTIBHAI BAMBHANIYA","BHAVNAGAR","Images","31-Jul-2025","200000"
"12092","Normal/Others","WS/MP18335/2025-2026/207582-Construction of buildings for community cultural activities","Chhattisgarh","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Construction of cultural Stage","RADHE SHYAM RATHIYA","RAIGARH(ST)","Images","06-Feb-2026","300000"
"12093","Normal/Others","WS/MP485/2024-2025/149743-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Construction of concrete road from Chandpur Ayub Mondal's house towards Matibar Mondal's house   under Multi  G.P","Pratima Mondal","JOYNAGAR(SC)","Images","31-Jul-2025","199890"
"12094","Normal/Others","WS/MP544/2025-2026/158248-Street lights","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","bahadurpur prakhand antargat bajitpur panchayat ke radhepura chowk ke nikat sarvajanik sthal par mini high mast electric light ka adhisthapan karya","Mr Gopal Jee Thakur","DARBHANGA","N/A","31-Jul-2025","495000"
"12095","Normal/Others","WS/MP323/2025-2026/188641-Construction of community centers and community halls","Gujarat","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","Junagadh District,Maliya Hatina Taluka,Dharampur Village, Construction of a community hall in a public space in front of Devyatbhai house in Dharampur village","Rajeshbhai Naranbhai Chudasama","JUNAGADH","Images","02-Aug-2025","499290"
"12096","Normal/Others","WS/MP544/2025-2026/158249-Street lights","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","bahadurpur prakhand antargat darhar panchayat ke ward no 12 ramjanki mandir thakurbari (kali mandir) ke nikat sarvjanik sthal par mini hight mast electric light ka adhisthapan karya","Mr Gopal Jee Thakur","DARBHANGA","N/A","31-Jul-2025","495000"
"12097","Normal/Others","WS/MP544/2025-2026/158250-Street lights","Bihar","DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA)","bahadrupr prakhand antargat kharajpur panchayat ke kharajpur durga mandir ke nikat sarvajanik sthal par mini high mast electric light ka adhisthapan karya","Mr Gopal Jee Thakur","DARBHANGA","N/A","31-Jul-2025","495000"
"12098","Normal/Others","WS/MP18356/2025-2026/213093-Purchase of ambulances (Four, three and two wheelers)","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Supplying of Ambulance to Primary Health Centre Kabbur","PRIYANKA SATISH JARKIHOLI","CHIKKODI","Images","12-Jan-2026","1786924"
"12099","Normal/Others","WS/MP18356/2025-2026/169989-Purchase of ambulances (Four, three and two wheelers)","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Providing Ambulance for Emergencies at the Primary Health Centre at Kanagala village of Hukkeri taluka","PRIYANKA SATISH JARKIHOLI","CHIKKODI","Images","12-Jan-2026","1786924"
"12100","Normal/Others","WS/MP18356/2025-2026/169988-Purchase of ambulances (Four, three and two wheelers)","Karnataka","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","Providing Ambulance for Medical Emergencies at the Govt. Hospital,Chikkodi (Tayi Makkala hospital)","PRIYANKA SATISH JARKIHOLI","CHIKKODI","Images","12-Jan-2026","1786924"
"12101","Normal/Others","WS/MP18157/2025-2026/188773-Installation of multi-gym equipment","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Provisioning of Indoor Gym Machines in Vill. Bassian Bet, Block Sidhwan Bet, Distt. Ludhiana","AMRINDER SINGH RAJA WARRING","LUDHIANA","N/A","11-Aug-2025","200000"
"12102","Normal/Others","WS/MP18380/2024-2025/143206-Lighting of public spaces","Uttar Pradesh","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","Gram Sabha Jarahi me Patel Chauraha Pal Basti me","VINOD KUMAR BIND","BHADOHI","Images","23-Jul-2026","118957"
"12103","Normal/Others","WS/MP393/2025-2026/167662-Installing tube-wells and borewells","Tamil Nadu","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Providing Bore well and Bathing Tub at Ward 6 Thirthankulamkarai, Nattarasankottai Town Panchayat","Shri Karti P Chidambaram","SIVAGANGA","Images","01-Aug-2025","400000"
